degree,stratum,job_id,job_title,job_categories,system_score,human_label,annotator_notes
BIZ Dean's Office,high,MCF-2026-0177224,Intern (Finance and Investment),"Banking and Finance, Professional Services, Risk Management",0.3496,,
BIZ Dean's Office,high,MCF-2026-0166657,Business Analyst Intern,Information Technology,0.3934,,
BIZ Dean's Office,mid,MCF-2026-0164321,Investment Banking Analyst Discovery Programme 2026 Singapore,Banking and Finance,0.3273,,
BIZ Dean's Office,mid,MCF-2026-0176790,"Assistant Vice President, Post Trade Business Analyst Project Manager",Banking and Finance,0.3229,,
BIZ Dean's Office,mid,MCF-2025-1985318,Course / Program Director,"Admin / Secretarial, Education and Training, General Management, Professional Services, Others",0.322,,
BIZ Dean's Office,mid,MCF-2026-0174269,Adjunct Lecturers (Construction),"Building and Construction, Education and Training",0.3247,,
BIZ Dean's Office,mid,MCF-2026-0153964,Business Operations Specialist |PFG-B01,"Admin / Secretarial, Banking and Finance, Consulting",0.3209,,
BIZ Dean's Office,low,MCF-2026-0178336,Chinese Language Teacher (N2-P6) #82054,"Education and Training, Others",0.1292,,
BIZ Dean's Office,low,MCF-2026-0160493,Sales Promoter (FMCG) | Little India ( 1 Year Contract) - YZ11,"Customer Service, Sales / Retail",0.1633,,
BIZ Dean's Office,low,MCF-2026-0172357,Order Fulfillment Specialist - WCAN,Manufacturing,0.1713,,
BIZ Dean's Office,low,MCF-2026-0191427,Senior Milling Machine Operator,"Engineering, Manufacturing, Others, Precision Engineering",0.128,,
BIZ Dean's Office,low,MCF-2025-1805535,Automation Technician,Engineering,0.1494,,
Mechanical Engineering,high,MCF-2026-0178793,Project Engineer,"Building and Construction, Engineering",0.3948,,
Mechanical Engineering,high,MCF-2026-0174578,Project Engineer,Engineering,0.3894,,
Mechanical Engineering,high,MCF-2026-0193321,URGENT: Senior/Design Engineer x3 (mechanical/semicon/mfg),"Engineering, General Management, Manufacturing, Precision Engineering",0.3947,,
Mechanical Engineering,high,MCF-2026-0172409,Engineer - Projects,Building and Construction,0.3959,,
Mechanical Engineering,high,MCF-2026-0173362,Project Engineer (M&E),Building and Construction,0.3994,,
Mechanical Engineering,mid,MCF-2025-1627711,Project Engineer,Engineering,0.373,,
Mechanical Engineering,mid,MCF-2026-0158591,Project Engineer,Building and Construction,0.3758,,
Mechanical Engineering,mid,MCF-2026-0193484,Project Engineer (Mechanical),Engineering,0.3734,,
Mechanical Engineering,mid,MCF-2026-0158623,Project RC Engineer,Building and Construction,0.3681,,
Mechanical Engineering,mid,MCF-2026-0166830,Engineer (Electrical Project),Engineering,0.3865,,
Mechanical Engineering,low,MCF-2026-0193823,Human Resource & Admin Associate |INX-B01,"Consulting, Human Resources",0.0582,,
Mechanical Engineering,low,MCF-2026-0190229,"Customer Service Executive (Entry Level welcome, Freight forwarding, Mass Hiring!) [Bukit Merah | 5 days | up to $3500] - LCYL","Customer Service, Logistics / Supply Chain",0.0527,,
Mechanical Engineering,low,MCF-2026-0074617,Sales & Events Ambassadors,"Events / Promotions, General Management, Marketing / Public Relations, Professional Services, Sales / Retail",0.1182,,
Mechanical Engineering,low,MCF-2026-0182278,Finance Analyst - Regional Science & Healthcare,Accounting / Auditing / Taxation,0.1338,,
Mechanical Engineering,low,MCF-2026-0182513,Brand Associate (Travelling Opportunities),"Events / Promotions, Marketing / Public Relations",0.1318,,
Computer Science,high,MCF-2026-0167827,IT Security Consultant | CISSP,Engineering,0.4156,,
Computer Science,high,MCF-2026-0160282,Security Engineer,Information Technology,0.415,,
Computer Science,high,MCF-2026-0183687,Project Engineer (Security Systems),Engineering,0.412,,
Computer Science,high,MCF-2025-1971873,Project Engineer (2 Years Contract),Engineering,0.3934,,
Computer Science,high,MCF-2026-0153509,Project Manager - Cyber Security (PRIT),Information Technology,0.4111,,
Computer Science,mid,MCF-2025-1849280,Information Technology Manager,Information Technology,0.3867,,
Computer Science,mid,MCF-2026-0171804,Senior IT Security Engineer,Information Technology,0.3674,,
Computer Science,mid,MCF-2026-0160871,Cybersecurity Project Manager,General Management,0.3786,,
Computer Science,mid,MCF-2026-0183769,Cybersecurity Project Manager,General Management,0.3786,,
Computer Science,mid,MCF-2026-0173528,Principal Software Engineer (Embedded C / C++),"Engineering, Information Technology",0.3757,,
Computer Science,low,MCF-2025-1979246,Property Officer,Hospitality,0.0761,,
Computer Science,low,MCF-2026-0174583,Freight Forwarding Sales Executive – Indoor Sales (Class 3 Driving License Mandatory) - WC2,Sales / Retail,0.0785,,
Computer Science,low,MCF-2026-0164139,"Manager, Brand Partnerships - China Export/Pan-APAC",Marketing / Public Relations,0.0753,,
Computer Science,low,MCF-2026-0177097,SALES SUPERVISOR,Sales / Retail,0.1031,,
Computer Science,low,MCF-2025-1864116,"Assistant Manager, Clinical Operations (West/ up to $5,000 + AWS + VB)",Healthcare / Pharmaceutical,0.0691,,
NUS College Dean's Office,high,MCF-2026-0155585,Principal Data Scientist (Aerospace),"Engineering, Information Technology, Manufacturing",0.2615,,
NUS College Dean's Office,high,MCF-2026-0171842,Principal Data Scientist (Aerospace),"Engineering, Information Technology, Manufacturing",0.2615,,
NUS College Dean's Office,high,MCF-2025-1524423,Data Visualization Engineer,"Engineering, Information Technology, Manufacturing",0.2485,,
NUS College Dean's Office,high,MCF-2026-0163442,Principal Data Scientist (Aerospace),"Engineering, Information Technology, Manufacturing",0.2615,,
NUS College Dean's Office,high,MCF-2026-0173379,Quantitative Researcher (UX and Website Analytics),Information Technology,0.2996,,
NUS College Dean's Office,mid,MCF-2026-0184322,Data Scientist,Information Technology,0.2216,,
NUS College Dean's Office,mid,MCF-2026-0189143,Project Analyst - Master Data Cleaning & Validation,Logistics / Supply Chain,0.2039,,
NUS College Dean's Office,mid,MCF-2026-0181685,Desk Quant Analyst,"Banking and Finance, Information Technology",0.2038,,
NUS College Dean's Office,mid,MCF-2025-1604902,Data Analyst,"Engineering, Information Technology, Others",0.21,,
NUS College Dean's Office,mid,MCF-2026-0169261,Analyst (Talend Data Integration & Informatica BDM),Information Technology,0.2099,,
NUS College Dean's Office,low,MCF-2026-0159390,Shop Sales Manager,Sales / Retail,-0.0115,,
NUS College Dean's Office,low,MCF-2026-0166978,PURCHASING EXECUTIVE,"Admin / Secretarial, Sales / Retail",0.0374,,
NUS College Dean's Office,low,MCF-2026-0153952,🦅💖 Event & Telco Sales Marketing Ambassador 🏆,"Customer Service, Events / Promotions, Marketing / Public Relations, Sales / Retail, Telecommunications",0.0249,,
NUS College Dean's Office,low,MCF-2026-0156011,HR Specialist,Human Resources,0.0439,,
NUS College Dean's Office,low,MCF-2026-0172254,M&E Coordinator,Building and Construction,0.0021,,
Geography,high,MCF-2026-0191392,Project Engineer,Information Technology,0.3137,,
Geography,high,MCF-2026-0187430,Lecturer,Others,0.3128,,
Geography,high,MCF-2026-0185596,Lecturer in Linguistics and Multilingual Studies,Education and Training,0.3353,,
Geography,high,MCF-2026-0072275,"Head of Legal (Marine Industry, Central Region)",Legal,0.3116,,
Geography,high,MCF-2026-0171956,School Intern,Admin / Secretarial,0.325,,
Geography,mid,MCF-2026-0191378,"Examination Invigilator (Undergraduate) (Contract for Services), RO",Others,0.2993,,
Geography,mid,MCF-2026-0186568,"Assistant Director, Legal Services",Legal,0.2978,,
Geography,mid,MCF-2026-0164255,English Language Teacher,Education and Training,0.2915,,
Geography,mid,MCF-2026-0166077,Trainee Solicitor,Legal,0.3089,,
Geography,mid,MCF-2026-0154884,Geospatial Data Engineering,Information Technology,0.3088,,
Geography,low,MCF-2026-0175123,"Junior Sous Chef (Western Banquet Kitchen) - Frasers House, a Luxury Collection Hotel, Singapore","F&B, Hospitality",0.0935,,
Geography,low,MCF-2026-0153297,Design Coordinator (Civil/ Structural),"Architecture / Interior Design, Building and Construction, Design, Engineering",0.1234,,
Geography,low,MCF-2025-1817923,"*BANK, 12 months contract* Digital Platform Business Analyst / Channels Management @ Central","Banking and Finance, Consulting, Marketing / Public Relations, Professional Services",0.0966,,
Geography,low,MCF-2026-0160081,Master Chef,F&B,0.0688,,
Geography,low,MCF-2026-0154604,NPI Engineer,"Engineering, Manufacturing",0.1034,,
Sociology and Anthropology,high,MCF-2026-0189658,Research Fellow in Cybersecurity,Education and Training,0.1911,,
Sociology and Anthropology,high,MCF-2026-0179166,Research Intern,"Consulting, General Management, Others",0.1843,,
Sociology and Anthropology,high,MCF-2026-0190402,Consultant - Cyber Defence & Resilience,Consulting,0.1713,,
Sociology and Anthropology,high,MCF-2026-0153203,Instructors for Leadership and/or Social and Emotional Learning (SEL) and/or Learning for Life Programme (LLP) for school students,"Customer Service, Education and Training",0.1895,,
Sociology and Anthropology,high,MCF-2026-0175753,Associate / Senior Associate (Projects & Energy Transition),"Legal, Professional Services",0.1891,,
Sociology and Anthropology,mid,MCF-2026-0182469,Community Development & Engagement Officer,"Admin / Secretarial, Social Services",0.1378,,
Sociology and Anthropology,mid,MCF-2026-0175775,Museum Programme Coordinator (Education) - 1 year,"Admin / Secretarial, Events / Promotions",0.1478,,
Sociology and Anthropology,mid,MCF-2026-0191230,Programme Manager,"General Management, Social Services, Others",0.1616,,
Sociology and Anthropology,mid,MCF-2026-0167382,"Singapore Multi-Platform Local News Journalist, Lianhe Zaobao (采访组多平台记者,联合早报）",Others,0.1358,,
Sociology and Anthropology,mid,MCF-2026-0165641,Youth Work Associate (IPAC),Social Services,0.1401,,
Sociology and Anthropology,low,MCF-2026-0171586,Manufacturing Quality Engineer (NPI) - WCAN,Manufacturing,-0.037,,
Sociology and Anthropology,low,MCF-2025-1830813,Assistant Programme Executive (Serangoon),Healthcare / Pharmaceutical,-0.0087,,
Sociology and Anthropology,low,MCF-2026-0182718,Buyer (Up to $3500 / 5 days / Changi),Purchasing / Merchandising,-0.0382,,
Sociology and Anthropology,low,MCF-2026-0181448,Part-Time Accounts Payable Executive,Accounting / Auditing / Taxation,-0.0107,,
Sociology and Anthropology,low,MCF-2025-1848491,"Office & Administration, Senior Specialist",Admin / Secretarial,-0.019,,
Food Science and Technology,high,MCF-2026-0170866,Management Trainee (F&B),F&B,0.3412,,
Food Science and Technology,high,MCF-2026-0158539,Summer Internship Programme,"Consulting, Customer Service, General Management, Professional Services, Risk Management",0.3659,,
Food Science and Technology,high,MCF-2026-0170909,Management Trainee (F&B),F&B,0.3412,,
Food Science and Technology,high,MCF-2026-0171349,Management Trainee (F&B),F&B,0.3387,,
Food Science and Technology,high,MCF-2025-1990376,Finance Intern (Graduates Welcome),"Banking and Finance, Risk Management",0.3409,,
Food Science and Technology,mid,MCF-2026-0176477,F&B Executive,F&B,0.327,,
Food Science and Technology,mid,MCF-2026-0179166,Research Intern,"Consulting, General Management, Others",0.3216,,
Food Science and Technology,mid,MCF-2026-0171414,Management Trainee (F&B),F&B,0.3302,,
Food Science and Technology,mid,MCF-2026-0177122,Trainee |PFG-B01,"Banking and Finance, Consulting",0.3222,,
Food Science and Technology,mid,MCF-2026-0183665,MCST Admin & Account (Jnr),"Accounting / Auditing / Taxation, Admin / Secretarial, Customer Service, Real Estate / Property Management",0.3165,,
Food Science and Technology,low,MCF-2026-0166540,"Design Manager, Project Management",Design,0.1508,,
Food Science and Technology,low,MCF-2026-0163927,DRIVER,Building and Construction,0.1354,,
Food Science and Technology,low,MCF-2026-0182131,Senior Performance Planner,Advertising / Media,0.1511,,
Food Science and Technology,low,MCF-2026-0167573,Marine Specialist,"Engineering, Manufacturing, Professional Services, Repair and Maintenance, Others",0.1657,,
Food Science and Technology,low,MCF-2026-0180793,Account Executive (Events),"Advertising / Media, Events / Promotions",0.1544,,
